platform,method,runningTime,width,height
OpenCL,erosion,1.36083,1920,1080
OpenCL,erosion,1.37008,1920,1080
OpenCL,dilation,1.36026,1920,1080
OpenCL,gradient,5.44048,1920,1080
OpenCL,closing,3.95254,1920,1080
OpenCL,opening,3.95789,1920,1080
OpenCL,tophat,5.45248,1920,1080
OpenCL,bottomhat,5.45638,1920,1080
OpenCL,hitormiss,5.72387,1920,1080
OpenCL,geodesicErosion,28.6925,1920,1080
OpenCL,geodesicDilation,28.7012,1920,1080
OpenCL,erosion,1.36387,1920,1080
OpenCL,dilation,1.36461,1920,1080
OpenCL,gradient,5.4935,1920,1080
OpenCL,closing,3.95418,1920,1080
OpenCL,opening,3.9608,1920,1080
OpenCL,tophat,5.45206,1920,1080
OpenCL,bottomhat,5.61392,1920,1080
OpenCL,hitormiss,5.68374,1920,1080
OpenCL,geodesicErosion,28.6791,1920,1080
OpenCL,geodesicDilation,28.6049,1920,1080
OpenCL,erosion,1.36803,1920,1080
OpenCL,dilation,1.368,1920,1080
OpenCL,gradient,5.48717,1920,1080
OpenCL,closing,3.97926,1920,1080
OpenCL,opening,3.96589,1920,1080
OpenCL,tophat,5.48234,1920,1080
OpenCL,bottomhat,5.4511,1920,1080
OpenCL,hitormiss,5.70557,1920,1080
OpenCL,geodesicErosion,28.6548,1920,1080
OpenCL,geodesicDilation,28.6052,1920,1080
OpenCL,erosion,1.37133,1920,1080
OpenCL,dilation,1.35834,1920,1080
OpenCL,gradient,5.4816,1920,1080
OpenCL,closing,3.9727,1920,1080
OpenCL,opening,3.96813,1920,1080
OpenCL,tophat,5.9737,1920,1080
OpenCL,bottomhat,5.62432,1920,1080
OpenCL,hitormiss,5.70701,1920,1080
OpenCL,geodesicErosion,28.6771,1920,1080
OpenCL,geodesicDilation,28.7084,1920,1080
OpenCL,erosion,1.36352,1920,1080
OpenCL,dilation,1.36579,1920,1080
OpenCL,gradient,5.45181,1920,1080
OpenCL,closing,3.95491,1920,1080
OpenCL,opening,4.00742,1920,1080
OpenCL,tophat,5.46557,1920,1080
OpenCL,bottomhat,5.45706,1920,1080
OpenCL,hitormiss,5.7111,1920,1080
OpenCL,geodesicErosion,28.6946,1920,1080
OpenCL,geodesicDilation,28.6817,1920,1080
OpenCL,erosion,1.36397,1920,1080
OpenCL,dilation,1.36579,1920,1080
OpenCL,gradient,5.6567,1920,1080
OpenCL,closing,3.96253,1920,1080
OpenCL,opening,3.95987,1920,1080
OpenCL,tophat,5.53744,1920,1080
OpenCL,bottomhat,5.51901,1920,1080
OpenCL,hitormiss,5.74573,1920,1080
OpenCL,geodesicErosion,28.7227,1920,1080
OpenCL,geodesicDilation,28.7368,1920,1080
OpenCL,erosion,1.36416,1920,1080
OpenCL,dilation,1.36166,1920,1080
OpenCL,gradient,5.79635,1920,1080
OpenCL,closing,4.01968,1920,1080
OpenCL,opening,4.02906,1920,1080
OpenCL,tophat,5.47875,1920,1080
OpenCL,bottomhat,5.46678,1920,1080
OpenCL,hitormiss,5.82384,1920,1080
OpenCL,geodesicErosion,28.6872,1920,1080
OpenCL,geodesicDilation,28.6946,1920,1080
OpenCL,erosion,1.36403,1920,1080
OpenCL,dilation,1.35987,1920,1080
OpenCL,gradient,5.61811,1920,1080
OpenCL,closing,3.9463,1920,1080
OpenCL,opening,3.95117,1920,1080
OpenCL,tophat,5.44688,1920,1080
OpenCL,bottomhat,5.47818,1920,1080
OpenCL,hitormiss,5.83632,1920,1080
OpenCL,geodesicErosion,28.7081,1920,1080
OpenCL,geodesicDilation,28.6036,1920,1080
OpenCL,erosion,1.36189,1920,1080
OpenCL,dilation,1.36611,1920,1080
OpenCL,gradient,5.45094,1920,1080
OpenCL,closing,3.97536,1920,1080
OpenCL,opening,3.99133,1920,1080
OpenCL,tophat,5.44739,1920,1080
OpenCL,bottomhat,5.46288,1920,1080
OpenCL,hitormiss,5.69008,1920,1080
OpenCL,geodesicErosion,28.7112,1920,1080
OpenCL,geodesicDilation,28.6376,1920,1080
OpenCL,erosion,1.36883,1920,1080
OpenCL,dilation,1.36192,1920,1080
OpenCL,gradient,5.4896,1920,1080
OpenCL,closing,4.00563,1920,1080
